edad,ciudad,estrato_socioeconomico,nivel_educacion,estado_civil,personas_a_cargo,tipo_empleo,antiguedad_empleo,salario_mensual,egresos_mensuales,numero_demandas,puntaje_datacredito,numero_propiedades,patrimonio_total,saldo_promedio_banco,valor_inmueble,anos_inmueble,porcentaje_cuota_inicial,valor_cuota_inicial,monto_credito,ltv,plazo_credito,tasa_interes_anual,cuota_mensual,dti,capacidad_ahorro,capacidad_residual,ratio_cuota_ingreso,ratio_patrimonio_deuda,meses_colchon,ratio_cuota_ahorro,ratio_egreso_salario,score_edad,flag_sobreendeudamiento,score_estabilidad_laboral,riesgo_legal,educacion_x_salario,edad_x_antiguedad,ltv_x_puntaje,grupo_edad,rango_salarial,categoria_puntaje,nivel_ltv,nivel_dti,puntaje_riesgo,nivel_riesgo,rechazo_automatico
39,Bucaramanga,1,Profesional,Casado,2,Formal,3.0,1981000,1486000,0,760,0,31100000,1050000,40000000,11,10,4000000.0,36000000.0,90.0,23,10.52,346800,17.51,495000,148200,17.51,0.8638888888888889,3.027681660899654,0.7006060606060606,75.01261988894498,40,0,55.0,0.0,5.9430000000000005,117.0,126.0,Adulto Joven,Muy Bajo,Bueno,Alto,Excelente,64.5,Medio,False
26,Barranquilla,1,Técnico,Casado,0,Formal,4.5,2132000,1563000,0,834,0,9700000,8180000,59000000,13,10,5900000.0,53100000.0,90.0,29,9.73,458100,21.49,569000,110900,21.49,0.18267419962335216,17.856363239467367,0.8050966608084359,73.31144465290807,10,0,70.0,0.0,4.264,117.0,59.4,Joven,Bajo,Muy Bueno,Alto,Bueno,71.75,Bajo,False
41,Cali,2,Técnico,Casado,2,Formal,21.0,3742000,2806000,0,808,0,100300000,10880000,86000000,0,18,15480000.0,70520000.0,82.0,13,8.79,760000,20.31,936000,176000,20.31,1.4222915484968803,14.31578947368421,0.811965811965812,74.98663816141101,40,0,125.0,0.0,7.484,861.0,75.44,Adulto,Medio-Bajo,Muy Bueno,Alto,Bueno,83.0,Bajo,False
31,Bogotá,4,Técnico,Casado,3,Formal,3.0,3533000,2478100,1,736,0,41500000,6050000,114000000,1,10,11400000.0,102600000.0,90.0,24,10.88,1004900,28.44,1054900,50000,28.44,0.4044834307992203,6.020499552194249,1.1380520951302378,70.1415227851684,40,0,55.0,86.46647167633873,7.066,93.0,147.6,Adulto Joven,Medio-Bajo,Bueno,Alto,Aceptable,41.5,Alto,False
35,Pereira,2,Profesional,Soltero,0,Independiente,9.0,2741000,1834000,0,810,0,41300000,6750000,79000000,7,10,7900000.0,71100000.0,90.0,19,10.1,702300,25.62,907000,204700,25.62,0.5808720112517581,9.611277231952156,0.7743109151047409,66.9098869025903,40,0,100.0,0.0,8.223,315.0,81.0,Adulto Joven,Bajo,Muy Bueno,Alto,Aceptable,75.8,Bajo,False
31,Ibagué,3,Técnico,Unión Libre,2,Formal,6.5,2521000,1891000,0,826,0,42500000,5550000,53000000,13,13,6890000.0,46110000.0,87.0,23,9.28,404900,16.06,630000,225100,16.06,0.9217089568423336,13.707088169918498,0.6426984126984127,75.00991669972234,40,0,90.0,0.0,5.042,201.5,64.38,Adulto Joven,Bajo,Muy Bueno,Alto,Excelente,82.75,Bajo,False
56,Bogotá,3,Profesional,Viudo,0,Formal,38.0,5873000,3348000,0,850,1,487200000,25110000,187000000,6,20,37400000.0,149600000.0,80.0,14,8.87,1557900,26.53,2525000,967100,26.53,3.2566844919786098,16.11785095320624,0.616990099009901,57.006640558487994,-8,0,125.0,0.0,17.619,2128.0,40.0,Adulto Mayor,Medio,Muy Bueno,Medio,Aceptable,88.0,Bajo,False
37,Medellín,2,Bachiller,Divorciado,0,Informal,4.5,1533000,1021000,0,827,0,31000000,9650000,39000000,3,20,7800000.0,31200000.0,80.0,15,9.75,330500,21.56,512000,181500,21.56,0.9935897435897436,29.1981845688351,0.6455078125,66.60143509458578,40,0,45.0,0.0,1.533,166.5,58.4,Adulto Joven,Muy Bajo,Muy Bueno,Medio,Bueno,71.6,Bajo,False
27,Bogotá,4,Profesional,Soltero,1,Independiente,3.5,5067000,3537000,0,833,1,244400000,41590000,197000000,4,23,45310000.0,151690000.0,77.0,27,8.77,1224300,24.16,1530000,305700,24.16,1.6111806974751137,33.97043208363963,0.8001960784313725,69.80461811722914,10,0,45.0,0.0,15.201,94.5,51.59,Joven,Medio,Muy Bueno,Medio,Bueno,81.2,Bajo,False
46,Cartagena,3,Bachiller,Casado,0,Informal,7.0,2016000,1283000,0,835,0,62700000,9140000,60000000,8,18,10800000.0,49200000.0,82.0,18,9.7,482500,23.93,733000,250500,23.93,1.274390243902439,18.94300518134715,0.6582537517053206,63.64087301587301,40,0,70.0,0.0,2.016,322.0,53.3,Adulto,Bajo,Muy Bueno,Alto,Bueno,78.6,Bajo,False
25,Barranquilla,3,Profesional,Soltero,0,Formal,7.0,6354000,3560000,0,850,0,34700000,61920000,120000000,3,23,27600000.0,92400000.0,77.0,26,8.5,735900,11.58,2794000,2058100,11.58,0.37554112554112556,84.14186710150835,0.26338582677165356,56.02769908718918,10,0,95.0,0.0,19.062,175.0,38.5,Joven,Medio,Muy Bueno,Medio,Excelente,92.5,Bajo,False
40,Bogotá,4,Bachiller,Casado,2,Informal,5.0,3647000,2549500,0,792,0,77000000,8440000,95000000,3,12,11400000.0,83600000.0,88.0,12,10.99,1047500,28.72,1097500,50000,28.72,0.9210526315789473,8.05727923627685,1.1485745614035088,69.90677268988209,40,0,50.0,0.0,3.647,200.0,95.04,Adulto Joven,Medio-Bajo,Bueno,Alto,Aceptable,52.0,Medio,False
22,Cúcuta,3,Técnico,Unión Libre,1,Informal,1.5,3190000,2290000,0,744,1,99800000,11680000,79000000,14,20,15800000.0,63200000.0,80.0,22,10.79,627300,19.66,900000,272700,19.66,1.5791139240506329,18.619480312450182,0.697,71.78683385579937,-30,0,15.0,0.0,6.38,33.0,124.8,Joven,Bajo,Bueno,Medio,Excelente,64.2,Medio,False
24,Bogotá,2,Bachiller,Soltero,1,Informal,2.0,2860000,2145000,0,753,1,63700000,8310000,68000000,37,15,10200000.0,57800000.0,85.0,28,10.82,548000,19.16,715000,167000,19.16,1.102076124567474,15.164233576642335,0.7664335664335664,75.0,-30,0,20.0,0.0,2.86,48.0,124.95,Joven,Bajo,Bueno,Alto,Excelente,64.6,Medio,False
39,Bucaramanga,2,Bachiller,Unión Libre,3,Informal,5.5,1597000,1112000,0,768,0,27200000,940000,48000000,13,10,4800000.0,43200000.0,90.0,23,11.14,435000,27.24,485000,50000,27.24,0.6296296296296297,2.160919540229885,1.0902255639097744,69.63055729492798,40,0,55.0,0.0,1.597,214.5,118.8,Adulto Joven,Muy Bajo,Bueno,Alto,Aceptable,49.4,Medio,False
45,Medellín,3,Profesional,Unión Libre,0,Independiente,20.5,6377000,4032000,0,850,1,497700000,33150000,116000000,32,24,27840000.0,88160000.0,76.0,19,8.82,798300,12.52,2345000,1546700,12.52,5.645417422867514,41.52574220217963,0.3404264392324094,63.22722283205269,40,0,110.0,0.0,19.131,922.5,38.0,Adulto,Medio,Muy Bueno,Medio,Excelente,94.0,Bajo,False
39,Bogotá,2,Bachiller,Casado,0,Independiente,9.0,3389000,2471000,0,827,0,64500000,5690000,87000000,16,10,8700000.0,78300000.0,90.0,20,9.95,753000,22.22,918000,165000,22.22,0.8237547892720306,7.556440903054449,0.8202614379084967,72.91236352906462,40,0,100.0,0.0,3.389,351.0,65.7,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,75.8,Bajo,False
36,Bogotá,2,Técnico,Casado,3,Informal,7.5,2308000,1450200,1,700,1,84100000,4890000,91000000,23,11,10010000.0,76923835.3909465,84.53168724279834,24,11.86,807800,35.0,857800,50000,35.0,1.0932892200783075,6.053478583807873,1.4,62.83362218370884,40,0,75.0,86.46647167633873,4.616,270.0,169.06337448559668,Adulto Joven,Bajo,Regular,Alto,Límite,41.0,Alto,False
34,Bogotá,4,Bachiller,Soltero,0,Informal,1.5,3111000,1985000,0,801,0,76700000,8700000,96000000,1,12,11520000.0,84480000.0,88.0,20,10.13,822500,26.44,1126000,303500,26.44,0.907907196969697,10.577507598784194,0.7304618117229129,63.805850208936036,40,0,15.0,0.0,3.111,51.0,87.12,Adulto Joven,Bajo,Muy Bueno,Alto,Aceptable,69.2,Bajo,False
23,Barranquilla,3,Bachiller,Soltero,0,Independiente,1.0,2206000,1265000,0,756,0,2600000,5960000,82000000,10,10,8200000.0,73800000.0,90.0,26,10.72,703100,31.87,941000,237900,31.87,0.03523035230352303,8.476745839852084,0.7471838469713071,57.34360834088849,-30,0,20.0,0.0,2.206,23.0,129.6,Joven,Bajo,Bueno,Alto,Límite,56.2,Medio,False
30,Cali,1,Técnico,Soltero,1,Informal,4.0,2118000,1511700,2,644,0,21600000,7280000,54000000,22,11,5940000.0,48060000.0,89.0,19,12.61,556300,26.27,606300,50000,26.27,0.449438202247191,13.086464138055007,1.0496226415094339,71.37393767705382,40,0,40.0,98.16843611112658,4.236,120.0,227.84,Joven,Bajo,Regular,Alto,Aceptable,31.2,Alto,False
33,Bogotá,1,Bachiller,Soltero,0,Formal,13.5,1541000,1019000,0,792,0,16600000,8800000,57000000,9,11,6270000.0,50730000.0,89.0,19,10.18,503800,32.69,522000,18200,32.69,0.32722255075891976,17.467248908296945,0.9651340996168583,66.12589227774173,40,0,125.0,0.0,1.541,445.5,96.12,Adulto Joven,Muy Bajo,Bueno,Alto,Límite,63.0,Medio,False
48,Bogotá,3,Técnico,Casado,1,Independiente,6.5,2400000,1630000,0,821,0,115000000,7120000,68000000,4,21,14280000.0,53720000.0,79.0,15,8.69,535000,22.29,770000,235000,22.29,2.140729709605361,13.30841121495327,0.6948051948051948,67.91666666666667,40,0,75.0,0.0,4.8,312.0,62.41,Adulto,Bajo,Muy Bueno,Medio,Bueno,84.8,Bajo,False
41,Bogotá,4,Técnico,Casado,2,Informal,13.5,3600000,2441500,0,805,0,116500000,7040000,103000000,6,14,14420000.000000002,88580000.0,86.0,11,9.99,1108500,30.79,1158500,50000,30.79,1.315195303680289,6.350924672981507,1.2316666666666667,67.81944444444444,40,0,100.0,0.0,7.2,553.5,81.7,Adulto,Medio-Bajo,Muy Bueno,Alto,Límite,56.0,Medio,False
22,Cartagena,3,Bachiller,Unión Libre,0,Informal,3.0,2168000,1295000,1,700,0,3200000,9790000,81000000,26,10,8100000.0,69206205.42975104,85.4397597898161,24,12.49,758800,35.0,873000,114200,35.0,0.04623862817111416,12.90195044807591,0.8691867124856816,59.732472324723254,-30,0,30.0,86.46647167633873,2.168,66.0,170.8795195796322,Joven,Bajo,Regular,Alto,Límite,47.4,Medio,False
41,Barranquilla,2,Técnico,Casado,2,Formal,23.0,3726000,2794000,0,835,0,62300000,7080000,72000000,0,13,9360000.0,62640000.0,87.0,10,9.4,807100,21.66,932000,124900,21.66,0.9945721583652618,8.7721471936563,0.8659871244635193,74.98658078368223,40,0,125.0,0.0,7.452,943.0,56.55,Adulto,Medio-Bajo,Muy Bueno,Alto,Bueno,83.0,Bajo,False
34,Bogotá,1,Profesional,Unión Libre,3,Informal,1.5,2543000,1767000,0,761,0,31200000,6870000,70000000,28,10,7000000.0,63000000.0,90.0,15,11.25,726000,28.55,776000,50000,28.55,0.49523809523809526,9.462809917355372,1.1415094339622642,69.48486040110106,40,0,15.0,0.0,7.6290000000000004,51.0,125.1,Adulto Joven,Bajo,Bueno,Alto,Aceptable,46.2,Medio,False
31,Cali,2,Bachiller,Unión Libre,3,Informal,2.0,2309000,1592200,0,752,0,29100000,2670000,73000000,10,10,7300000.0,65700000.0,90.0,22,11.11,666800,28.88,716800,50000,28.88,0.4429223744292237,4.004199160167967,1.155632582322357,68.95625812039845,40,0,20.0,0.0,2.309,62.0,133.2,Adulto Joven,Bajo,Bueno,Alto,Aceptable,46.6,Medio,False
44,Bogotá,2,Técnico,Soltero,0,Formal,15.0,3044000,2163000,0,806,0,54000000,11120000,92000000,27,12,11040000.0,80960000.0,88.0,15,9.43,842000,27.66,881000,39000,27.66,0.6669960474308301,13.206650831353919,0.9557321225879682,71.05781865965835,40,0,125.0,0.0,6.088,660.0,82.72,Adulto,Bajo,Muy Bueno,Alto,Aceptable,73.0,Bajo,False
48,Santa Marta,1,Bachiller,Unión Libre,1,Informal,2.5,1271000,953000,0,770,1,60200000,2280000,31000000,55,21,6510000.0,24490000.0,79.0,19,10.02,240600,18.93,318000,77400,18.93,2.458146182115149,9.476309226932669,0.7566037735849057,74.98033044846576,40,0,25.0,0.0,1.271,120.0,102.7,Adulto,Muy Bajo,Bueno,Medio,Excelente,64.0,Medio,False
47,Santa Marta,2,Bachiller,Casado,1,Informal,4.5,1644000,1018600,0,743,0,53700000,2160000,56000000,35,10,5600000.0,47502309.58230958,84.82555282555282,14,11.68,575400,35.0,625400,50000,35.0,1.1304713491235912,3.753910323253389,1.4,61.95863746958638,40,0,45.0,0.0,1.644,211.5,133.17611793611795,Adulto,Muy Bajo,Bueno,Alto,Límite,41.6,Alto,False
29,Barranquilla,1,Bachiller,Casado,2,Informal,0.5,1753000,1201900,0,752,0,16200000,1310000,53000000,8,10,5300000.0,47700000.0,90.0,20,11.27,501100,28.59,551100,50000,28.59,0.33962264150943394,2.6142486529634805,1.1440639269406392,68.56246434683399,10,0,5.0,0.0,1.753,14.5,133.2,Joven,Muy Bajo,Bueno,Alto,Aceptable,45.4,Medio,False
34,Ibagué,4,Bachiller,Divorciado,0,Informal,6.0,3753000,2180000,0,791,1,208700000,29080000,110000000,7,18,19800000.0,90200000.0,82.0,20,10.29,887900,23.66,1573000,685100,23.66,2.313747228381375,32.75143597251943,0.5644628099173554,58.086863842259525,40,0,60.0,0.0,3.753,204.0,89.38,Adulto Joven,Medio-Bajo,Bueno,Alto,Bueno,77.8,Bajo,False
41,Bucaramanga,2,Bachiller,Casado,1,Informal,2.5,1502000,926300,0,753,0,37300000,2130000,51000000,31,10,5100000.0,37726125.703564726,73.97279549718574,10,11.28,525700,35.0,575700,50000,35.0,0.9887047584235648,4.05174053642762,1.3981382978723405,61.6711051930759,40,0,25.0,0.0,1.502,102.5,108.74000938086304,Adulto,Muy Bajo,Bueno,Medio,Límite,49.0,Medio,False
47,Pereira,3,Profesional,Soltero,0,Formal,7.0,4439000,2815000,0,850,1,256300000,19410000,109000000,8,24,26160000.0,82840000.0,76.0,18,8.5,750100,16.9,1624000,873900,16.9,3.093915982617093,25.876549793360883,0.461884236453202,63.41518359990989,40,0,95.0,0.0,13.317,329.0,38.0,Adulto,Medio-Bajo,Muy Bueno,Medio,Excelente,92.5,Bajo,False
33,Cali,1,Técnico,Soltero,0,Informal,2.0,2367000,1763000,0,805,0,22700000,7420000,62000000,53,10,6200000.0,55800000.0,90.0,21,10.44,547100,23.11,604000,56900,23.11,0.4068100358422939,13.56242003290075,0.9057947019867549,74.48246725813266,40,0,20.0,0.0,4.734,66.0,85.5,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,61.6,Medio,False
36,Bogotá,3,Bachiller,Unión Libre,2,Independiente,8.5,2745000,1822800,0,805,0,78300000,6330000,102000000,7,10,10200000.0,91800000.0,90.0,21,9.99,872200,31.77,922200,50000,31.77,0.8529411764705882,7.257509745471222,1.2181564245810055,66.40437158469945,40,0,95.0,0.0,2.745,306.0,85.5,Adulto Joven,Bajo,Muy Bueno,Alto,Límite,55.2,Medio,False
26,Bogotá,4,Bachiller,Soltero,0,Formal,5.5,3508000,1965000,0,796,0,17500000,30520000,91000000,52,21,19110000.0,71890000.0,79.0,26,9.37,615700,17.55,1543000,927300,17.55,0.24342745861733203,49.56959558226409,0.3990278677900194,56.01482326111744,10,0,80.0,0.0,3.508,143.0,82.16,Joven,Medio-Bajo,Bueno,Medio,Excelente,85.25,Bajo,False
26,Bogotá,5,Profesional,Soltero,0,Formal,2.5,6354000,3410000,0,838,0,71300000,77740000,217000000,7,19,41230000.0,175770000.0,81.0,24,8.87,1476300,23.23,2944000,1467700,23.23,0.4056437389770723,52.65867371130529,0.501460597826087,53.666981429021085,10,0,50.0,0.0,19.062,65.0,50.22,Joven,Medio,Muy Bueno,Alto,Bueno,81.75,Bajo,False
46,Cali,2,Técnico,Soltero,0,Independiente,9.5,3406000,2487000,0,820,1,199300000,15600000,84000000,51,21,17640000.0,66360000.0,79.0,19,8.79,599600,17.6,919000,319400,17.6,3.0033152501506932,26.01734489659773,0.6524483133841131,73.01820317087493,40,0,105.0,0.0,6.812,437.0,63.2,Adulto,Bajo,Muy Bueno,Medio,Excelente,88.4,Bajo,False
51,Bogotá,3,Técnico,Casado,0,Formal,33.0,5411000,3063000,0,850,2,585600000,24210000,157000000,9,15,23550000.0,133450000.0,85.0,14,9.27,1420900,26.26,2348000,927100,26.26,4.388160359685275,17.038496727426278,0.6051533219761499,56.606911846239136,40,0,125.0,0.0,10.822,1683.0,42.5,Adulto,Medio,Muy Bueno,Alto,Aceptable,88.0,Bajo,False
